id,hebrew,transliterated
20154,ניו יורק ניצחה,niw iwrq nicxh
20155,3988,3988
20156,אטלנטה בלוס אנגלס את הקליפרס 21149,avlnvh blws angls at hqliprs 21149
20157,בוסטון הכניעה את הנאטס,bwsvwn hkniyh at hnavs
20158,גרזי  וגולדן סטייט בטאקומה,grzi  wgwldn sviiv bvaqwmh
20159,מדינת וושינגטון,mdint wweingvwn
20160,את סיאטל 711001,at siavl 711001
20161,תוצאות אחרות,twcawt axrwt
20162,קליוולנד פילדלפיה 40188,qliwwlnd pildlpih 40188
20163,מיאמי אינדיאנה 021501,miami aindianh 021501
20164,שיקאגו שארלוט 50168,eiqagw earlwv 50168
20165,בריוני,briwni
20166,כדורגל תקפו שוטרים באבני מדרכה ובגז מדמיע,kdwrgl tqpw ewvrim babni mdrkh wbgz mdmiy
20167,בשתי ערים,beti yrim
20168,גרמניה לשעבר,grmnih leybr
20169,אחרי משחקי סוף השבוע מסרו אתמול מקורות רשמיים,axri mexqi swp hebwy msrw atmwl mqwrwt remiim
20170,נעזרה בצינורות מים,nyzrh bcinwrwt mim
20171,בכלבים ובגז מדמיע כדי לפזר יותר ם,bklbim wbgz mdmiy kdi lpzr iwtr m
20172,איש,aie
20173,מהם עוטי מסיכות,mhm ywvi msikwt
20174,שהתפרעו בשבת בעיר מאגדבורג,ehtpryw bebt byir magdbwrg
20175,סיפר דובר המשטרה,sipr dwbr hmevrh
20176,ויינר,wiinr
20177,ביום שישי בלילה התפרעו עשרות אוהדי כדורגל שיכורים,biwm eiei blilh htpryw yerwt awhdi kdwrgl eikwrim
20178,הם,hm
20179,פני שוטרים בגז מדמיע אחרי שהסבו נזק לחנויות,pni ewvrim bgz mdmiy axri ehsbw nzq lxnwiwt
20180,בתום משחק כדורגל ברוסטוק,btwm mexq kdwrgl brwsvwq
20181,איש נעצרו,aie nycrw
20182,כאלף אוהדי כדורגל המכנים עצמם,kalp awhdi kdwrgl hmknim ycmm
20183,בועטים,bwyvim
20184,חוליגאנים,xwliganim
20185,קיימו בשבת בברלין צעדה לזכר צעיר בן  שנורה לפני שבוע למוות בעיר לייפציג,qiimw bebt bbrlin cydh lzkr cyir bn  enwrh lpni ebwy lmwwt byir liipcig
20186,מאות שוטרים ליוו את המצעד שהתקיים לאורך 3,mawt ewvrim liww at hmcyd ehtqiim lawrk 3
20187,עד לשער בראנדבורג,yd leyr brandbwrg
20188,מסרה,msrh
20189,כי הצעדה הסתיימה ללא מקרי אלימות,ki hcydh hstiimh lla mqri alimwt
20190,שלושה שחקני מפתח של נבחרת הנערים פצועים וזה כמובן מטריד את המאמן,elweh exqni mptx el nbxrt hnyrim pcwyim wzh kmwbn mvrid at hmamn
20191,כהן,khn
20192,לפני המשחק עם הונגריה בקדם אליפות אירופה,lpni hmexq ym hwngrih bqdm alipwt airwph
20193,המשחק שיהיה,hmexq eihih
20194,מחרתיים,mxrtiim
20195,03,03
20196,41,41
20197,הוא השני של נערי ישראל במסגרת זו,hwa heni el nyri ieral bmsgrt zw
20198,לאחר התיקו,laxr htiqw
20199,עם ברית המועצות בקישינב,ym brit hmwycwt bqieinb
20200,בסגל שיתכנס מחר אחר הצהריים למחנה,bsgl eitkns mxr axr hchriim lmxnh
20201,בשפיים  שחקנים,bepiim  exqnim
20202,כולל מוזמן חדש שירן אדירי ממכבי תל אביב,kwll mwzmn xde eirn adiri mmkbi tl abib
20203,שלושת,elwet
20204,נמנים עם ההרכב הראשון,nmnim ym hhrkb hraewn
20205,הקפטן תומר אזולאי,hqpvn twmr azwlai
20206,ירושלים,irwelim
20207,המשחק,hmexq
20208,בלם אחורי,blm axwri
20209,המגן הימני בהדגט עודה מהפועל פתח תקוה והקשר ערן בן,hmgn himni bhdgv ywdh mhpwyl ptx tqwh whqer yrn bn
20210,מהפועל ירושלים,mhpwyl irwelim
20211,הפציעות אינן קלות,hpciywt ainn qlwt
20212,הם היו פצועים כבר בשבוע שעבר,hm hiw pcwyim kbr bebwy eybr
20213,אך שיחקו בסוף השבוע ואף אחד מהשלושה לא סיים את המשחק,ak eixqw bswp hebwy wap axd mhelweh la siim at hmexq
20214,אמר גדעון כהן,amr gdywn khn
20215,גם כך מתוכנן לפחות שינוי אחד בהרכב הפותח לעומת ההרכב ששיחק בקישינב,gm kk mtwknn lpxwt einwi axd bhrkb hpwtx lywmt hhrkb eeixq bqieinb
20216,המאמן כהן מתייחס ברצינות רבה להונגרים העומדים להגיע היום לישראל,hmamn khn mtiixs brcinwt rbh lhwngrim hywmdim lhgiy hiwm lieral
20217,אולי לא חזקים כמו ברית המועצות,awli la xzqim kmw brit hmwycwt
20218,אך יש להם נבחרת טובה והיא תבוא לנצח,ak ie lhm nbxrt vwbh whia tbwa lncx
20219,כי כל תוצאה אחרת תוציא אותה מהתמונה,ki kl twcah axrt twcia awth mhtmwnh
20220,אחרי ההפסד לברית המועצות,axri hhpsd lbrit hmwycwt
20221,הם ניצחו אותנו  בטורניר שהיה בקיץ,hm nicxw awtnw  bvwrnir ehih bqic
20222,והמטרה שלנו תהיה ניצחון,whmvrh elnw thih nicxwn
20223,איך להתמודד עם המהירות שלהם,aik lhtmwdd ym hmhirwt elhm
20224,אמר כהן,amr khn
20225,מזרח סעודיה,mzrx sywdih
20226,במחנות ארעיים שהוקמו בסעודיה ובנסיכויות,bmxnwt aryiim ehwqmw bsywdih wbnsikwiwt
20227,מתאמנים בימים אלה 000,mtamnim bimim alh 000
20228,מתנדבים כווייתים לקראת מלחמה עם עיראק,mtndbim kwwiitim lqrat mlxmh ym yiraq
20229,הסגלגלות ורגליהם הדקות מעידים על החיים הטובים שהיו להם באמירות,hsglglwt wrglihm hdqwt myidim yl hxiim hvwbim ehiw lhm bamirwt
20230,לפני הפלישה העיראקית,lpni hplieh hyiraqit
20231,אך גם על העובדה שהם עדיין רחוקים מאוד מכושר,ak gm yl hywbdh ehm ydiin rxwqim mawd mkwer
20232,נאות,nawt
20233,עם זאת,ym zat
20234,אילו אפשר היה לנצח מלחמה בהתלהבות בלבד,ailw aper hih lncx mlxmh bhtlhbwt blbd
20235,היו,hiw
20236,הללו כבר עכשיו בכוויית סיטי,hllw kbr ykeiw bkwwiit sivi
20237,רבים מהם חשו להתנדב בשגרירויות כוויית,rbim mhm xew lhtndb begrirwiwt kwwiit
20238,העולם ושילמו בעד נסיעתם למחנות האימונים שלהם,hywlm weilmw byd nsiytm lmxnwt haimwnim elhm
20239,אנו מקווים כי נהיה,anw mqwwim ki nhih
20240,הראשונים שיחזרו לכוויית,hraewnim eixzrw lkwwiit
20241,אנו כולנו מוכנים להילחם ולמות למען אללה,anw kwlnw mwknim lhilxm wlmwt lmyn allh
20242,ארצנו,arcnw
20243,אמר קולונל סידי סאלח א,amr qwlwnl sidi salx a
20244,שמיירי,emiiri
20245,קצין הצבא הכווייתי,qcin hcba hkwwiiti
20246,על אימוני המתנדבים,yl aimwni hmtndbim
20247,במחנה האימונים הסעודי צעדו בסך  מתנדבים בתוך,bmxnh haimwnim hsywdi cydw bsk  mtndbim btwk
20248,אבק,abq
20249,וקראו בקצב סיסמאות כמו,wqraw bqcb sismawt kmw
20250,אללה,allh
20251,כוויית,kwwiit
20252,האמיר,hamir
20253,השמיעו שירים פטריוטים לחיזוק לב הלוחמים,hemiyw eirim pvriwvim lxizwq lb hlwxmim
20254,הגיע הזמן לצאת לארצנו,hgiy hzmn lcat larcnw
20255,נגד עיראק,ngd yiraq
20256,הגיע הזמן להתגייס לצבא,hgiy hzmn lhtgiis lcba
20257,נאמר באחד השירים,namr baxd heirim
20258,הקבוצה,hqbwch
20259,של המתנדבים כבר מתאמנת שלושה שבועות,el hmtndbim kbr mtamnt elweh ebwywt
20260,אולם אף לא אחד מהם החזיק רובה ביד,awlm ap la axd mhm hxziq rwbh bid
20261,קולונל א,qwlwnl a
20262,שמיירי אמר כי הם יתחילו להתאמן בנשק קל ובמקלעים כבר,emiiri amr ki hm itxilw lhtamn bneq ql wbmqlyim kbr
20263,והוסיף כי יש מספיק נשק לכולם,whwsip ki ie mspiq neq lkwlm
20264,בסעודיה נפוצו שמועות כי כוחות הברית,bsywdih npwcw emwywt ki kwxwt hbrit
20265,לתת נשק בידי הכווייתים מחשש שהם יתחילו את המלחמה בעצמם,ltt neq bidi hkwwiitim mxee ehm itxilw at hmlxmh bycmm
20266,עדיין לא,ydiin la
20267,כיצד ישתלבו המתנדבים במהלך המלחמה אם תפרוץ,kicd ietlbw hmtndbim bmhlk hmlxmh am tprwc
20268,בין היתר מדובר שהם,bin hitr mdwbr ehm
20269,תגבורת לצבא הסדיר הכווייתי המוצב בסעודיה והמונה  חיילים,tgbwrt lcba hsdir hkwwiiti hmwcb bsywdih whmwnh  xiilim
20270,מינהל מקרקעי ישראל מציע במכרז הגדול ביותר שפירסם עד כה 008,minhl mqrqyi ieral mciy bmkrz hgdwl biwtr epirsm yd kh 008
20271,1,1
20272,לבניית וילות וקוטגים במסגרת תוכניות בנה ביתך,lbniit wilwt wqwvgim bmsgrt twkniwt bnh bitk
20273,האתר העיקרי בו,hatr hyiqri bw
20274,מגרשים הוא רעות,mgreim hwa rywt
20275,שליד הישוב מכבים,elid hiewb mkbim
20276,שם מוצעים  מגרשים בנוסף ל000,em mwcyim  mgreim bnwsp l000
20277,שכבר נמסרו לאנשי לאנשי צבא הקבע במסגרת פרויקט רעות,ekbr nmsrw lanei lanei cba hqby bmsgrt prwiqv rywt
20278,באתר אחר,batr axr
20279,שוהם שליד מודיעין,ewhm elid mwdiyin
20280,מוצעים  מגרשים,mwcyim  mgreim
20281,כן מוצעים מגרשים בחדרה,kn mwcyim mgreim bxdrh
20282,קרית,qrit
20283,טבעון,vbywn
20284,פרדס,prds
20285,חנה,xnh
20286,עכו,ykw
20287,עתלית,ytlit
20288,רכסים וגבעת,rksim wgbyt
20289,עדה,ydh
20290,המינהל,hminhl
20291,גם קרקע ל דירות להשכרה,gm qrqy l dirwt lhekrh
20292,רובן במרכז הארץ,rwbn bmrkz harc
20293,מנהל המינהל,mnhl hminhl
20294,ויתקון,witqwn
20295,מסר כי האתרים המיועדים מצויים בפתח,msr ki hatrim hmiwydim mcwiim bptx
20296,תקוה,tqwh
20297,כפר,kpr
20298,סבא,sba
20299,ראשון,raewn
20300,לציון,lciwn
20301,אשדוד ובאר,aedwd wbar
20302,שבע,eby
20303,כדי לעודד יזמים יפטור אותם המינהל,kdi lywdd izmim ipvwr awtm hminhl
20304,דמי חכירה שנתיים לכל תקופת החכירה,dmi xkirh entiim lkl tqwpt hxkirh
20305,ובתנאי שזו לא תיפול מעשר שנים,wbtnai ezw la tipwl myer enim
20306,החכיר מינהל מקרקעי ישראל שני מגרשים למבנים תעשייתיים באור,hxkir minhl mqrqyi ieral eni mgreim lmbnim tyeiitiim bawr
20307,יהודה,ihwdh
20308,כל מגרש כדונם וחצי,kl mgre kdwnm wxci
20309,לבינוי,lbinwi
20310,021,021
20311,המינהל יקבל תמורת החכרת מגרש,hminhl iqbl tmwrt hxkrt mgre
20312,אלף,alp
20313,ותמורת החכרת השני  אלף,wtmwrt hxkrt heni  alp
20314,בעכו קיבל המינהל עד,bykw qibl hminhl yd
20315,שלושה ממחיר המינימום בעבור מגרשים למבני תעשייה באזור התעשייה של העיר,elweh mmxir hminimwm bybwr mgreim lmbni tyeiih bazwr htyeiih el hyir
20316,הוא הציע  מגרשים על שטח שבין 2,hwa hciy  mgreim yl evx ebin 2
20317,13,13
20318,דונם למגרש,dwnm lmgre
20319,ויקבל בין 23,wiqbl bin 23
20320,אלף,alp
20321,למגרש,lmgre
20322,באשדוד הציע המינהל מגרש של 5,baedwd hciy hminhl mgre el 5
20323,דונם,dwnm
20324,לבינוי,lbinwi
20325,061,061
20326,להקמת מבנה לתעשייה,lhqmt mbnh ltyeiih
20327,חברת מנרב אחזקות,xbrt mnrb axzqwt
20328,שמניותיה נסחרות בבורסה התל,emniwtih nsxrwt bbwrsh htl
20329,אביבית,abibit
20330,זכתה במכרז ותשלם למינהל  אלף,zkth bmkrz wtelm lminhl  alp
20331,מנרב,mnrb
20332,שבראשה עומד,ebraeh ywmd
20333,אברהם קוזניצקי,abrhm qwznicqi
20334,בונה באשדוד בהיקפים גדולים,bwnh baedwd bhiqpim gdwlim
20335,בעיקר למגורים,byiqr lmgwrim
20336,האחרונים מורגשת מגמה להחליף מבנים ודירות המושכרים בשכר דירה גבוה,haxrwnim mwrget mgmh lhxlip mbnim wdirwt hmwekrim bekr dirh gbwh
20337,דומים,dwmim
20338,זולים יותר,zwlim iwtr
20339,בעבר העדיפו שוכרים להמשיך ולשלם שכר דירה גבוה,bybr hydipw ewkrim lhmeik wlelm ekr dirh gbwh
20340,ובלבד שלא לסבול מאי הנוחות של מעבר למבנה חדש,wblbd ela lsbwl mai hnwxwt el mybr lmbnh xde
20341,הכרוך לעתים גם,hkrwk lytim gm
20342,כבדות,kbdwt
20343,חברה בענף הרכב שכרה,xbrh bynp hrkb ekrh
20344,באמצעות חברת רשף נכסים,bamcywt xbrt rep nksim
20345,מבנה בשטח,mbnh bevx
20346,באזור התעשייה של סגולה בפתח,bazwr htyeiih el sgwlh bptx
20347,תקוה,tqwh
20348,החברה התחייבה לשלם לבעלי,hxbrh htxiibh lelm lbyli
20349,5,5
20350,דולר,dwlr
20351,מחיר נמוך יחסית,mxir nmwk ixsit
20352,כיוון שהמבנה טעון שיפוצים משמעותיים,kiwwn ehmbnh vywn eipwcim memywtiim
20353,עד כה פעלה החברה ממבנה בקרית,yd kh pylh hxbrh mmbnh bqrit
20354,אריה,arih
20355,שם שילמה כ5,em eilmh k5
20356,דולר,dwlr
20357,חסכה חלק ניכר מהוצאות שכר הדירה,xskh xlq nikr mhwcawt ekr hdirh
20358,דוגמה אחרת,dwgmh axrt
20359,איש עסקים שכר דירה,aie ysqim ekr dirh
20360,חדרים בשטח של 561,xdrim bevx el 561
20361,תמורת כ דולר ברחוב רב אשי בנווה,tmwrt k dwlr brxwb rb aei bnwwh
20362,אביבים,abibim
20363,הדירה ששכר תחליף דירה דומה,hdirh eekr txlip dirh dwmh
20364,ששכר במחיר של 000,eekr bmxir el 000
20365,דולר לחודש,dwlr lxwde
20366,ריאלית מורגשת בחודשים האחרונים במחירי הדירות ברמת,rialit mwrget bxwdeim haxrwnim bmxiri hdirwt brmt
20367,גן,gn
20368,שיעור,eiywr
20369,מוערך,mwyrk
20370,להלן כמה דוגמאות לגבי הירידה במחירים,lhln kmh dwgmawt lgbi hiridh bmxirim
20371,דירה בת  חדרים,dirh bt  xdrim
20372,מעיין בגבעתיים,myiin bgbytiim
20373,תמורתה ביקשו לפני כ חודשים  אלף דולר,tmwrth biqew lpni k xwdeim  alp dwlr
20374,נמכרה,nmkrh
20375,של דבר רק אחרי שמחירה ירד ל אלף דולר ירידה של,el dbr rq axri emxirh ird l alp dwlr iridh el
20376,31,31
20377,דירה ברח,dirh brx
20378,בגבעתיים,bgbytiim
20379,שתמורתה ביקשו  אלף דולר,etmwrth biqew  alp dwlr
20380,מוצעת כיום ב אלף דולר,mwcyt kiwm b alp dwlr
20381,ועדיין לא מצאו לה קונים,wydiin la mcaw lh qwnim
20382,דירת גג במיקום הנחשב למעולה,dirt gg bmiqwm hnxeb lmywlh
20383,שתמורתה,etmwrth
20384,לפני כ חודשים  אלף דולר,lpni k xwdeim  alp dwlr
20385,תימכר עתה ב אלף דולר,timkr yth b alp dwlr
20386,חברת הכשרת,xbrt hkert
20387,רכשה מחצית מבית דייזי באזור התעשייה בהרצליה ב אלף דולר,rkeh mxcit mbit diizi bazwr htyeiih bhrclih b alp dwlr
20388,הבניין,hbniin
20389,על שטח בנוי כולל של 000,yl evx bnwi kwll el 000
20390,2,2
20391,הוא היה שייך למשפחת גולדברג,hwa hih eiik lmepxt gwldbrg
20392,מבניה,mbnih
20393,גדעון גולדברג,gdywn gwldbrg
20394,מכר את חלקו,mkr at xlqw
20395,05,05
20396,בנכס,bnks
20397,הכשרת הישוב,hkert hiewb
20398,את עסקת הרכישה על בסיס תשואה של,at ysqt hrkieh yl bsis tewah el
20399,01,01
20400,לחברת המחשבים דייזי,lxbrt hmxebim diizi
20401,השוכרת,hewkrt
20402,כל שלושת הקומות בבניין,kl elwet hqwmwt bbniin
20403,יש חוזה לשנתיים וחצי,ie xwzh lentiim wxci
20404,עם אופציה לחמש,ym awpcih lxme
20405,נוספות,nwspwt
20406,לפני כשבועיים ביצעה הכשרת הישוב עסקת,lpni kebwyiim bicyh hkert hiewb ysqt
20407,נוספת,nwspt
20408,במסגרתה,bmsgrth
20409,מחברת התעופה ההולנדית ק,mxbrt htywph hhwlndit q
20410,ל,l
20411,ם את משרדיה ברחוב בן,m at merdih brxwb bn
20412,יהודה פינת,ihwdh pint
20413,בתל,btl
20414,אביב,abib
20415,גם כן ב אלף דולר,gm kn b alp dwlr
20416,המחיר הממוצע,hmxir hmmwcy
20417,בעסקה זו הגיע לכ075,bysqh zw hgiy lk075
